33687;8594;38;8.00;1;8.00
33688;8594;1166;49.00;3;147.00
33689;8595;11;64.00;1;64.00
33690;8595;22;38.00;1;38.00
33691;8595;61;9.50;3;28.50
33692;8596;5;58.00;1;58.00
33693;8597;8;84.00;1;84.00
33694;8597;23;22.50;1;22.50
33695;8598;11;64.00;2;128.00
33696;8599;12;45.00;4;180.00
33697;8599;13;46.00;4;184.00
33698;8599;1135;47.00;4;188.00
33699;8599;89;12.00;1;12.00
34523;8600;19;38.00;1;38.00
34524;8600;21;38.00;1;38.00
34525;8600;4;60.00;1;60.00
34526;8601;12;45.00;1;45.00
34527;8601;26;39.00;1;39.00
34528;8602;11;66.00;1;66.00
34529;8603;4;62.00;2;124.00
34542;8611;5;56.50;2;113.00
34543;8611;4;60.00;2;120.00
34544;8612;11;64.00;1;64.00
34545;8612;13;46.00;1;46.00
34546;8613;26;39.00;1;39.00
34548;8613;23;22.50;2;45.00
34550;8615;11;64.00;1;64.00
34551;8616;11;64.00;1;64.00
34552;8616;20;38.00;1;38.00
34553;8617;31;11.00;3;33.00
34554;8618;4;60.00;5;300.00
34555;8618;12;45.00;5;225.00
32477;8417;11;66.00;1;66.00
32478;8417;4;62.00;1;62.00
32667;8474;4;62.00;3;186.00
32668;8474;5;58.00;1;58.00
32669;8474;71;135.00;1;135.00
32670;8474;89;12.00;2;24.00
32673;8476;4;60.00;4;240.00
32777;8526;2096;66.00;1;66.00
32778;8527;12;47.00;1;47.00
32779;8527;4;62.00;1;62.00
33665;8586;18;50.00;1;50.00
33666;8586;22;38.00;1;38.00
33667;8586;19;38.00;1;38.00
33668;8586;23;22.50;1;22.50
33669;8586;12;45.00;1;45.00
33670;8586;13;46.00;1;46.00
33671;8587;4;62.00;1;62.00
33672;8587;37;9.00;1;9.00
34536;8608;11;66.00;2;132.00
34537;8608;23;22.50;1;22.50
34538;8609;11;66.00;1;66.00
34539;8609;23;22.50;1;22.50
34547;8613;11;64.00;1;64.00
34549;8614;11;64.00;1;64.00
34562;8622;18;50.00;2;100.00
34563;8623;26;39.00;1;39.00
34564;8624;11;64.00;1;64.00
34565;8625;4;62.00;3;186.00
34566;8625;5;58.00;1;58.00
34586;8633;11;64.00;6;384.00
34600;8638;11;66.00;2;132.00
34601;8639;12;47.00;3;141.00
34602;8639;13;48.00;3;144.00
34603;8640;49;11.00;5;55.00
34604;8640;51;14.50;2;29.00
34605;8640;55;25.00;1;25.00
34606;8640;54;24.00;2;48.00
34607;8640;85;39.00;1;39.00
34608;8640;61;9.50;2;19.00
34609;8640;26;39.00;1;39.00
34610;8640;11;64.00;1;64.00
34611;8640;5;56.50;2;113.00
34612;8640;1156;58.00;3;174.00
34613;8640;4;60.00;4;240.00
34614;8640;1157;62.00;1;62.00
34615;8640;23;22.50;1;22.50
34616;8640;31;11.00;2;22.00
34617;8641;4;62.00;1;62.00
34619;8643;4;60.00;8;480.00
34620;8643;5;56.50;7;395.50
34621;8643;12;45.00;1;45.00
34622;8643;13;46.00;1;46.00
34623;8643;26;39.00;1;39.00
34624;8643;15;66.00;1;66.00
34625;8643;71;130.00;2;260.00
34626;8643;11;64.00;1;64.00
34627;8643;89;12.00;6;72.00
34668;8655;4;62.00;5;310.00
34669;8655;5;58.00;5;290.00
34670;8655;11;66.00;1;66.00
34671;8655;31;11.00;3;33.00
34672;8655;36;31.00;1;31.00
34673;8656;4;62.00;3;186.00
34674;8656;5;58.00;3;174.00
34690;8662;11;64.00;1;64.00
34691;8663;11;66.00;1;66.00
34692;8664;23;22.50;2;45.00
34693;8665;5;58.00;2;116.00
34694;8666;11;64.00;1;64.00
34695;8667;11;64.00;1;64.00
34701;8670;11;64.00;1;64.00
34702;8671;11;64.00;1;64.00
34708;8675;36;31.00;1;31.00
34709;8676;11;67.00;1;67.00
34710;8676;23;22.50;1;22.50
34711;8677;5;58.00;2;116.00
34712;8677;4;62.00;1;62.00
34713;8677;23;22.50;1;22.50
